loss,mae,psnr,ssim,accuracy,val_loss,val_mae,val_psnr,val_ssim,val_accuracy
0.2553262691782868,0.17751191841519398,13.592999839782715,0.5221790614335433,0.20806824483949204,0.14788293527520222,0.09419983664284581,17.41775189275327,0.684498695705248,0.4589376325192659
0.1261392180038535,0.07677460043974545,19.07953170278798,0.714806286148403,0.5247187725875688,0.1057315310706263,0.05977744573484296,21.513501772673234,0.7403577514316725,0.574354945058408
0.10215250771978628,0.0581164885474288,21.751479770826258,0.7507797878721486,0.5925153898156208,0.09468965608140696,0.051854510896879695,22.48651871059252,0.7599166802738024,0.6574357753214629
0.09444442022105921,0.05228781758443169,22.619972212418265,0.7630927562713623,0.6364858289127765,0.0831950235625972,0.04160842137492221,23.915539268825366,0.7712884954784227,0.7427308201789856
0.090038920874181,0.0489344761747381,23.035835465140966,0.770032441097757,0.6679981138395227,0.08081338729547417,0.04024975264201994,24.05456365502399,0.7770846703778143,0.7501242093417956
0.0869715342703073,0.04676527147707732,23.312418846462084,0.7756093320639237,0.6889957291924436,0.07939637413491374,0.03953931078962658,24.24055121048637,0.7809722117755724,0.7600201378697934
0.0849785383304824,0.04541267036743786,23.523831889940343,0.7794871065927589,0.7051181106463723,0.07488241098497225,0.03598161712288857,24.721871649700663,0.7875377551369045,0.7858550729958907
0.08227113890259162,0.04327547404429187,23.802850010084068,0.7834089512410372,0.7212034062198971,0.07459108486123707,0.03613918916038845,24.779960897694462,0.7897006221439528,0.7911730994348941
0.08439334912792495,0.045392808674470236,23.62938418181046,0.782324128565581,0.6945500487866609,0.07215098103751307,0.03392456413611122,25.02548289091691,0.7919421325559202,0.8025861880053644
0.08071264226151549,0.0423998462603144,23.957822186013928,0.7872622899387194,0.7297368745441022,0.07216341327066007,0.03442592909154685,24.998978855298912,0.7941347899644271,0.7972202622372171
