key,severity,blur_score,blur_lap_var,blur_grad_mean,skipped_deblur,lap_var_in,lap_var_out,lap_var_delta,grad_mean_in,grad_mean_out,grad_mean_delta,intensity_in,intensity_out,intensity_delta,correction_score
101,sharp,0.39079192059580237,0.001633492880500853,0.03891584277153015,False,0.001633492880500853,0.0014522367855533957,-0.0001812560949474573,0.03891584277153015,0.04304702579975128,0.00413118302822113,0.3126744031906128,0.2871333360671997,-0.025541067123413086,0.041130574187263846
1019,sharp,0.26857133611338213,0.00043077050941064954,0.026814056560397148,False,0.00043077050941064954,0.0007543726242147386,0.00032360211480408907,0.026814056560397148,0.03327232971787453,0.006458273157477379,0.2856803238391876,0.2580888271331787,-0.02759149670600891,0.06490633368957788
1044,sharp,0.19854057220800314,0.00021852193458471447,0.019832205027341843,False,0.00021852193458471447,0.00035961129469797015,0.00014108936011325568,0.019832205027341843,0.02324322611093521,0.0034110210835933685,0.24198609590530396,0.21248775720596313,-0.02949833869934082,0.03425130019604694
1047,sharp,0.1985637555771973,0.00018146735965274274,0.019838228821754456,False,0.00018146735965274274,0.0003153218131046742,0.00013385445345193148,0.019838228821754456,0.024411384016275406,0.00457315519452095,0.2612484097480774,0.2344580590724945,-0.026790350675582886,0.045865406398661435
1053,sharp,0.11119535232501221,4.89972771902103e-05,0.0111146355047822,False,4.89972771902103e-05,8.22608926682733e-05,3.3263615478063e-05,0.0111146355047822,0.013559810817241669,0.002445175312459469,0.25321322679519653,0.22590352594852448,-0.027309700846672058,0.02448501674007275
1057,sharp,0.15078369489492616,9.060798765858635e-05,0.015069308690726757,False,9.060798765858635e-05,0.00015127869846764952,6.0670710809063166e-05,0.015069308690726757,0.019179048016667366,0.004109739325940609,0.3293113112449646,0.3038344085216522,-0.025476902723312378,0.04115806397021515
1078,sharp,0.2567005945456913,0.0001655189407756552,0.025653507560491562,False,0.0001655189407756552,0.0003035531553905457,0.00013803421461489052,0.025653507560491562,0.03247088938951492,0.006817381829023361,0.4029633700847626,0.38863036036491394,-0.014333009719848633,0.0683118525048485
1082,sharp,0.2609077024681028,0.00015617566532455385,0.026075152680277824,False,0.00015617566532455385,0.00029494386399164796,0.0001387681986670941,0.026075152680277824,0.031894534826278687,0.005819382146000862,0.4447419345378876,0.43230366706848145,-0.012438267469406128,0.058332589658675715
1085,sharp,0.24849343734967988,0.00014111089694779366,0.02483523264527321,False,0.00014111089694779366,0.00025608116993680596,0.0001149702729890123,0.02483523264527321,0.02966890297830105,0.00483367033302784,0.41100627183914185,0.39204323291778564,-0.0189630389213562,0.04845167360326741
1100,sharp,0.15738673724990804,9.030320507008582e-05,0.015729643404483795,False,9.030320507008582e-05,0.0001559355587232858,6.563235365319997e-05,0.015729643404483795,0.01827634498476982,0.002546701580286026,0.237297922372818,0.21936187148094177,-0.01793605089187622,0.02553264815651346
1115,sharp,0.1730653693084605,0.00014205026673153043,0.017292331904172897,False,0.00014205026673153043,0.00023213184613268822,9.00815794011578e-05,0.017292331904172897,0.02059469372034073,0.0033023618161678314,0.27212196588516235,0.2512074410915375,-0.020914524793624878,0.03311369974107947
112,sharp,0.27005313098197803,0.0007415017462335527,0.026931162923574448,False,0.0007415017462335527,0.0006631527212448418,-7.834902498871088e-05,0.026931162923574448,0.02925826981663704,0.0023271068930625916,0.289871484041214,0.25704696774482727,-0.03282451629638672,0.023192719905637205
1126,sharp,0.22317375254351646,0.00019450869876891375,0.022297924384474754,False,0.00019450869876891375,0.00038991181645542383,0.00019540311768651009,0.022297924384474754,0.028006460517644882,0.005708536133170128,0.293307363986969,0.27224186062812805,-0.021065503358840942,0.05728076444938779
113,sharp,0.2584871875005774,0.0006159806507639587,0.025787120684981346,False,0.0006159806507639587,0.00056873430730775,-4.7246343456208706e-05,0.025787120684981346,0.028234267607331276,0.00244714692234993,0.28548720479011536,0.2548689842224121,-0.030618220567703247,0.02442422288004309
1143,sharp,0.22031712996249553,0.0001903036463772878,0.022012682631611824,False,0.0001903036463772878,0.000315311539452523,0.0001250078930752352,0.022012682631611824,0.026418546214699745,0.004405863583087921,0.2920888662338257,0.26121094822883606,-0.030877918004989624,0.04418364372395445
1145,sharp,0.1980088074633386,0.0001429748663213104,0.01978658325970173,False,0.0001429748663213104,0.00024899354320950806,0.00010601867688819766,0.01978658325970173,0.02377934753894806,0.00399276427924633,0.28119096159935,0.2497330904006958,-0.031457871198654175,0.0400336614693515
122,sharp,0.23378681001486257,0.00045198557199910283,0.023333482444286346,False,0.00045198557199910283,0.0006082283216528594,0.00015624274965375662,0.023333482444286346,0.02715434692800045,0.0038208644837141037,0.2762611210346222,0.24684813618659973,-0.02941298484802246,0.038364887586794794
13,sharp,0.4508933466859162,0.0023701456375420094,0.04485232010483742,False,0.0023701456375420094,0.0022969539277255535,-7.319170981645584e-05,0.04485232010483742,0.05468384176492691,0.009831521660089493,0.33233773708343506,0.30765560269355774,-0.02468213438987732,0.09824202489107847
132,sharp,0.22308233246440068,0.00036877632373943925,0.022271355614066124,False,0.00036877632373943925,0.000451719737611711,8.294341387227178e-05,0.022271355614066124,0.025151420384645462,0.002880064770579338,0.2589438855648041,0.23194140195846558,-0.0270024836063385,0.028883591119665653
134,sharp,0.19918709836201742,0.0002206101198680699,0.019896648824214935,False,0.0002206101198680699,0.00029272190295159817,7.211178308352828e-05,0.019896648824214935,0.022562667727470398,0.0026660189032554626,0.24308031797409058,0.2187829166650772,-0.024297401309013367,0.026732300815638155
